inspection_id,project_id,inspection_date,inspector_name,inspector_id,inspection_type,result,score_out_of_100,deficiencies_found,reinspection_required,reinspection_date,regulatory_body,notes
85,29,07/09/2020,H. Lee,INS-29068,Interim Progress,Pass With Conditions,49,,Y,2022-09-18,State DEP,
86,29,11-27-2019,A. Nguyen,INS-22965,Plumbing,Pass,,0,YES,,FAA,Follow-up required
87,29,18/01/2023,R. Patel,INS-63067,Interim Progress,Pass,93,0,N,,Army Corps,Follow-up required
88,30,2021/10/26,J. Kowalski,INS-22408,Final Walkthrough,Pass,71,1,N,,Local Building Dept,Follow-up required
89,30,,B. Torres,INS-21721,Fire Safety,Pass,73,2,N,,EPA,Cited violation
90,30,2023-08-18,R. Patel,INS-49487,Environmental Compliance,Pass,99,0,Y,,State DOT,
91,31,01/30/2023,B. Torres,INS-56637,Environmental Compliance,Deferred,97,3,,,FHWA,
92,31,2025/03/07,I. Jackson,INS-87423,Structural,Deferred,76,0,Y,,Local Building Dept,
93,31,2023/05/02,B. Torres,,Interim Progress,Pass,76,3,No,,State DOT,Escalated to state
94,31,,S. Williams,INS-53079,Quality Control,Pass,89,1,yes,,Local Building Dept,Cited violation
95,32,03/10/2020,H. Lee,INS-50333,Final Walkthrough,PASS,32,4,Y,,FHWA,Follow-up required
96,32,01/31/2025,G. Martinez,,Environmental Compliance,Pass,72,1,N,,FTA,Follow-up required
97,32,2021/02/16,I. Jackson,INS-71318,Electrical,Pass,59,-,Y,02/02/2024,EPA,
98,32,14/07/2020,K. O'Brien,,Environmental Compliance,Deferred,78,1,Y,01-19-2021,FAA,Follow-up required
99,33,2022-05-29,S. Williams,,Final Walkthrough,Pass,,1,yes,,State DOT,Cited violation
100,33,,R. Patel,INS-75570,Quality Control,Pass with Conditions,?,1,Y,08/28/2020,State DEP,
101,33,10/10/2022,A. Nguyen,INS-83253,Interim Progress,Pass,91,2,YES,,OSHA,
102,34,2023-12-02,D. Freeman,INS-54011,Interim Progress,Pass,82,1,N,,Army Corps,Escalated to state
103,34,,D. Freeman,INS-97066,Electrical,Pass,76,3,Y,,State DEP,Closed
104,34,05-23-2024,I. Jackson,INS-19797,Fire Safety,Pass,97,2,N,,Army Corps,
105,34,2022/06/12,A. Nguyen,,Interim Progress,Pass with Conditions,62,2,Y,,State DEP,
106,34,2022/06/24,K. O'Brien,INS-58650,Interim Progress,Pass,88,TBD,Y,06/24/2020,Local Building Dept,
107,35,08-30-2021,R. Patel,INS-76061,Electrical,Pass with Conditions,86,2,Y,03/15/2024,OSHA,Cited violation
108,35,04/26/2021,I. Jackson,INS-28249,Final Walkthrough,Pass,80,0,N,,Army Corps,
109,35,2023/08/10,C. Richardson,INS-71625,Environmental Compliance,Fail,53,0,Y,2022/10/10,Local Building Dept,Escalated to state
110,35,01-06-2023,E. Hoffman,INS-57298,Plumbing,Pass,92,0,,,Local Building Dept,Cited violation
111,35,30/05/2020,R. Patel,INS-75951,Plumbing,Pass,60,3,N,,FHWA,Follow-up required
112,35,2022-08-21,B. Torres,INS-13320,Plumbing,Pass,56,2,yes,,State DEP,Escalated to state
113,36,2019-06-30,G. Martinez,INS-94226,Structural,Pass with Conditions,96,3,Y,,OSHA,
114,36,24/03/2023,B. Torres,INS-67669,Structural,Pass,N/A,,N,,Army Corps,
115,36,2022-11-02,K. O'Brien,INS-57768,Quality Control,Pass,57,0,N,,FHWA,Escalated to state
116,36,10/17/2019,R. Patel,INS-61016,Structural,Pass,96,0,Y,01-21-2022,State DEP,Cited violation
117,36,09-04-2024,J. Kowalski,INS-39220,Electrical,fail,60,3,Y,2023-12-10,Local Building Dept,
118,36,12-30-2020,A. Nguyen,-,Fire Safety,PASS,88,,N,,FHWA,
119,37,05/05/2024,M. Chen,INS-60444,Final Walkthrough,Pass,55,2,N,,Army Corps,
120,37,04/30/2021,I. Jackson,INS-24419,Interim Progress,Pass,61,1,N,,State DEP,
121,37,02/16/2019,G. Martinez,,Quality Control,Pass,62,N/A,N,,OSHA,
122,37,10/03/2024,A. Nguyen,INS-12577,Routine Safety,Pass,72,?,N,,FHWA,
123,37,2021-09-25,E. Hoffman,INS-99695,Environmental Compliance,Pass,67,2,No,,State DOT,
124,37,2020-04-11,I. Jackson,INS-49847,Interim Progress,Pass,79,2,N,,FAA,Cited violation
125,38,12-08-2020,I. Jackson,INS-17044,Fire Safety,Pass,83,,N,,FTA,
126,39,27/11/2021,R. Patel,INS-74667,Final Walkthrough,Pass,69,0,Y,2020-08-11,OSHA,Follow-up required
127,39,11/19/2019,D. Freeman,INS-77254,Plumbing,Pass,68,2,,,EPA,Closed
128,39,10/10/2022,M. Chen,INS-87665,Structural,Pass,66,1,N,,FHWA,
129,40,02-19-2020,B. Torres,,Routine Safety,Pass,90,0,Y,,OSHA,Escalated to state
130,40,2019-04-30,C. Richardson,INS-62684,Routine Safety,Pass,86,2,no,01/19/2021,State DOT,
131,40,2021-09-14,B. Torres,INS-45136,Structural,Pass,95,0,N,,State DOT,
132,40,2022-06-18,M. Chen,INS-53016,Quality Control,,91,3,N,,FHWA,
133,40,08-23-2019,H. Lee,INS-56445,Plumbing,Pass,70,2,N,,FAA,Cited violation
134,41,04/06/2022,A. Nguyen,INS-90670,Fire Safety,Pass,72,2,,,FAA,
135,41,2021-01-01,M. Chen,INS-26977,Routine Safety,Fail,39,4,Y,,EPA,Cited violation
136,42,2024-03-17,A. Nguyen,INS-51234,Structural,Fail,43,0,Y,,EPA,
137,42,01/28/2022,R. Patel,INS-28528,Routine Safety,Pass,,0,N,,FTA,Escalated to state
138,42,2024-04-24,S. Williams,INS-39968,Environmental Compliance,Pass,63,3,,,Army Corps,Closed
139,42,,M. Chen,INS-90330,Plumbing,Pass,97,1,Y,2020/11/11,FHWA,
140,43,17/09/2022,J. Kowalski,INS-44844,Final Walkthrough,Pass,64,0,Y,2019-05-16,FAA,
141,43,2021/10/31,D. Freeman,INS-70248,Final Walkthrough,Fail,39,1,Y,03-08-2021,FTA,Closed
142,43,03-22-2023,J. Kowalski,INS-71376,Plumbing,Pass,93,0,No,,State DEP,Escalated to state
143,43,05/27/2020,H. Lee,INS-33543,Interim Progress,Fail,45,5,Y,,State DOT,Cited violation
144,44,2023/01/01,B. Torres,INS-44110,Fire Safety,Pass,94,1,N,,Local Building Dept,Cited violation
145,44,08/05/2025,R. Patel,INS-42740,Routine Safety,Pass,75,0,,,State DEP,Closed
146,44,23/05/2025,R. Patel,INS-18768,Plumbing,Pass,81,2,N,,State DOT,
147,44,12/13/2023,I. Jackson,INS-57414,Environmental Compliance,Pass,55,n/a,Y,2019-10-29,EPA,
148,45,2019/02/26,M. Chen,TBD,Structural,Pass,,1,No,,State DOT,Follow-up required
149,45,2021/08/08,S. Williams,INS-48298,Quality Control,Pass,92,3,N,,FTA,Closed
150,45,15/07/2020,G. Martinez,INS-63187,Final Walkthrough,Pass with Conditions,82,3,Y,2021/03/10,Local Building Dept,Closed
151,45,05-18-2025,H. Lee,INS-50671,Routine Safety,Pass,65,3,N,,OSHA,Cited violation
152,45,,E. Hoffman,INS-11356,Final Walkthrough,Pass,?,2,N,,FHWA,Escalated to state
153,45,16/04/2023,I. Jackson,,Fire Safety,Pass,92,2,N,,FTA,
154,46,2022/12/07,D. Freeman,INS-17517,Plumbing,Pass,91,3,Y,2019/11/01,State DEP,
155,46,10/18/2022,K. O'Brien,INS-34256,Interim Progress,Pass,98,3,N,,FAA,Cited violation
156,46,2024/08/05,M. Chen,INS-43412,Final Walkthrough,Pass,57,3,N,,State DOT,
157,46,02-13-2019,G. Martinez,-,Electrical,Pass,56,0,N,,Local Building Dept,Follow-up required
158,47,12-22-2023,R. Patel,INS-30636,Plumbing,Pass,98,3,N,,State DEP,
159,47,11-06-2023,J. Kowalski,INS-21040,Quality Control,Pass with Conditions,97,0,Y,2021-12-21,State DEP,Cited violation
160,47,,J. Kowalski,INS-98134,Plumbing,Pass,82,3,Y,09/09/2024,OSHA,
161,48,13/09/2024,G. Martinez,INS-50713,Structural,Pass,75,1,Y,02/26/2022,FAA,
162,48,2021/04/16,A. Nguyen,INS-15992,Routine Safety,Pass,96,,N,,OSHA,Closed
163,49,2024/01/13,A. Nguyen,INS-32958,Routine Safety,Fail,47,1,Y,11/02/2019,State DEP,Cited violation
164,49,2021-03-02,E. Hoffman,INS-77029,Structural,Pass,63,0,N,,Local Building Dept,Escalated to state
165,49,2025/01/14,I. Jackson,INS-19287,Plumbing,Pass,64,0,N,,Local Building Dept,Closed
166,49,2023/09/15,C. Richardson,N/A,Structural,Pass,95,3,N,,EPA,
167,50,2023-05-29,C. Richardson,,Final Walkthrough,Pass With Conditions,88,0,Y,2025-03-15,FHWA,
168,50,2022-12-06,G. Martinez,INS-26004,Environmental Compliance,Pass,67,2,N,,FTA,
169,50,2021-07-11,J. Kowalski,INS-72856,Final Walkthrough,,68,3,N,,FAA,
170,51,2021/05/29,R. Patel,INS-98395,Environmental Compliance,Pass,73,N/A,No,,FTA,
171,51,01-18-2023,D. Freeman,INS-60408,Structural,,97,3,N,,FHWA,
172,51,09/02/2022,S. Williams,,Plumbing,Pass,78,3,,,EPA,Cited violation
173,51,2022-06-27,H. Lee,?,Plumbing,Pass,96,-,N,,FHWA,
174,52,2024/02/14,R. Patel,INS-99881,Interim Progress,Deferred,73,2,N,,Army Corps,Follow-up required
175,52,2024/05/06,A. Nguyen,INS-70850,Interim Progress,Pass,61,0,Y,2020/02/16,Army Corps,
176,52,03-26-2020,A. Nguyen,INS-17602,Fire Safety,Pass with Conditions,62,0,Y,2020/01/22,State DEP,Follow-up required
177,52,20/03/2023,B. Torres,INS-56833,Structural,Pass with Conditions,94,2,Y,04-09-2022,FTA,
178,52,,S. Williams,INS-32545,Plumbing,Pass,93,2,,,EPA,
179,53,09/07/2023,C. Richardson,INS-82547,Routine Safety,Pass,62,3,N,,FHWA,Escalated to state
180,54,13/06/2019,K. O'Brien,INS-59156,Plumbing,Pass,86,1,Y,,Local Building Dept,
181,54,08/01/2023,S. Williams,INS-81470,Fire Safety,Pass,89,1,N,,EPA,Cited violation
182,54,03/18/2024,E. Hoffman,INS-71730,Plumbing,Pass,74,0,Y,,Local Building Dept,
183,54,09-24-2020,A. Nguyen,INS-99650,Environmental Compliance,Deferred,70,3,N,,OSHA,Escalated to state
184,54,2025/01/30,A. Nguyen,,Fire Safety,Fail,N/A,1,Y,2021/03/17,FAA,
185,56,2019-06-08,M. Chen,INS-32903,Interim Progress,Pass,85,0,N,,FHWA,
186,56,2021/08/17,R. Patel,INS-86529,Interim Progress,Pass with Conditions,78,TBD,Y,2025-04-25,FTA,Follow-up required
187,56,04/30/2021,I. Jackson,INS-19477,Final Walkthrough,Deferred,92,2,Y,01-16-2023,FHWA,
188,56,01/05/2024,S. Williams,INS-92109,Routine Safety,Pass,96,0,N,,FHWA,Follow-up required
189,57,2019/05/15,S. Williams,INS-35038,Fire Safety,Pass,86,TBD,N,,State DOT,Escalated to state
190,57,2023/10/29,R. Patel,INS-89387,Quality Control,Pass,100,0,N,,Local Building Dept,
191,58,2021-06-05,B. Torres,INS-19072,Electrical,Pass,61,2,N,,FHWA,Cited violation
192,58,01-17-2022,D. Freeman,INS-35331,Final Walkthrough,Pass,76,3,y,,FHWA,Cited violation
193,59,01-21-2019,H. Lee,INS-27990,Final Walkthrough,Pass with Conditions,57,0,Y,,State DEP,Closed
194,59,08/21/2023,R. Patel,,Interim Progress,Pass,84,2,Y,2024-03-21,OSHA,Cited violation
195,59,,M. Chen,INS-90134,Environmental Compliance,Pass,80,2,YES,,EPA,
196,59,06/19/2021,S. Williams,INS-43559,Environmental Compliance,FAIL,83,1,N,,OSHA,
197,59,04-06-2024,J. Kowalski,INS-93840,Structural,Fail,44,2,Y,2025-04-17,Army Corps,
198,59,2021/01/06,I. Jackson,INS-90720,Quality Control,Pass,64,2,N,,FHWA,Follow-up required
199,60,09-14-2020,A. Nguyen,INS-59165,Interim Progress,Pass,60,3,N,,FTA,
200,60,2022-06-11,I. Jackson,INS-91187,Environmental Compliance,Pass,65,3,N,,Army Corps,
201,61,23/08/2021,B. Torres,INS-69093,Plumbing,PASS,57,-,N,,FHWA,Follow-up required
202,61,02-20-2020,R. Patel,INS-12149,Environmental Compliance,Pass,76,0,N,,Local Building Dept,Cited violation
203,61,2024/04/28,M. Chen,INS-78091,Interim Progress,Pass,69,2,YES,,State DEP,
204,61,,B. Torres,INS-70905,Quality Control,Pass with Conditions,-,3,Y,2024/06/07,Army Corps,Escalated to state
205,61,09/08/2020,K. O'Brien,,Structural,,,0,Y,2019/12/09,FHWA,
206,61,2021/07/29,G. Martinez,INS-19234,Final Walkthrough,Fail,59,7,Y,06-14-2021,State DOT,Follow-up required
207,62,03/31/2024,G. Martinez,INS-23476,Structural,Pass,64,1,N,,EPA,Follow-up required
208,62,27/06/2024,H. Lee,INS-59433,Environmental Compliance,PASS,82,2,y,2019-07-17,State DOT,
209,62,14/02/2020,I. Jackson,INS-92856,Final Walkthrough,Pass,91,1,N,,State DOT,Follow-up required
210,62,2020-10-13,D. Freeman,INS-89654,Interim Progress,pass,69,1,N,,OSHA,Follow-up required
211,62,06/09/2022,H. Lee,,Fire Safety,Pass,63,0,N,,FHWA,Closed
212,63,10-21-2022,K. O'Brien,INS-63660,Electrical,Pass,91,2,N,,Army Corps,
213,63,11/06/2022,S. Williams,INS-93339,Plumbing,Fail,59,7,Y,06-18-2022,State DOT,
214,63,09/21/2023,J. Kowalski,INS-34784,Final Walkthrough,FAIL,56,2,N,,FAA,Cited violation
215,63,2020-08-17,H. Lee,INS-71407,Final Walkthrough,Pass,86,,N,,State DEP,
216,64,12/27/2023,M. Chen,INS-69514,Final Walkthrough,FAIL,91,3,Y,09/04/2024,State DEP,
217,64,16/11/2023,E. Hoffman,?,Fire Safety,Pass,84,2,N,,Army Corps,Closed
218,64,2023/02/16,A. Nguyen,INS-55724,Environmental Compliance,Pass,91,1,N,,Local Building Dept,Follow-up required
219,64,13/08/2023,G. Martinez,,Interim Progress,Pass,74,2,N,,Local Building Dept,
220,64,2023/10/24,J. Kowalski,INS-28906,Quality Control,Pass,62,2,Y,12/08/2023,FTA,
221,65,2021-04-20,R. Patel,INS-69878,Structural,Pass,N/A,3,No,04-15-2024,Local Building Dept,
222,65,04/20/2019,J. Kowalski,INS-27039,Routine Safety,Pass,69,3,N,,State DOT,
223,65,04-29-2019,A. Nguyen,INS-61479,Environmental Compliance,Pass With Conditions,91,1,y,,EPA,
224,65,2024-08-31,A. Nguyen,INS-86104,Fire Safety,Pass,72,3,N,,OSHA,
225,65,2024/03/28,G. Martinez,INS-46236,Plumbing,Pass,87,0,N,,FTA,Cited violation
226,66,06/22/2020,S. Williams,INS-89099,Plumbing,Pass,81,3,Y,,FTA,
227,66,08/01/2024,G. Martinez,INS-17068,Electrical,Pass,74,3,N,,State DEP,Cited violation
228,66,2021/02/09,I. Jackson,INS-90153,Routine Safety,Pass,65,N/A,N,,Army Corps,Escalated to state
229,66,2021-10-22,G. Martinez,INS-33172,Fire Safety,Pass,59,3,N,,OSHA,
230,66,01-08-2025,C. Richardson,INS-31822,Environmental Compliance,Pass,81,1,N,,EPA,Escalated to state
231,66,08-02-2019,M. Chen,INS-96220,Quality Control,,59,2,N,,State DEP,Follow-up required
232,67,12/16/2019,S. Williams,INS-62518,Electrical,Pass,TBD,2,N,,State DEP,Escalated to state
233,67,12/12/2021,E. Hoffman,INS-97104,Final Walkthrough,Pass,73,0,N,,Army Corps,Closed
234,67,,H. Lee,,Final Walkthrough,Pass,72,0,Y,2022-03-22,EPA,Escalated to state
235,67,08-22-2020,M. Chen,INS-58657,Routine Safety,Pass,66,0,,,FTA,
236,67,05/09/2022,M. Chen,INS-53079,Final Walkthrough,Pass,66,0,N,,Local Building Dept,Cited violation
237,67,2024-02-05,E. Hoffman,INS-25862,Electrical,Pass,N/A,0,,,State DEP,Cited violation
238,68,12/11/2019,D. Freeman,INS-51743,Environmental Compliance,Pass,,2,N,,State DEP,
239,68,2024-02-20,R. Patel,INS-99646,Electrical,Pass,61,3,y,,FAA,
240,68,10/02/2019,E. Hoffman,INS-79687,Electrical,,82,3,No,,FAA,Cited violation
241,68,22/06/2019,M. Chen,INS-13427,Quality Control,Pass,96,0,Y,,State DEP,
242,69,07-15-2021,D. Freeman,INS-28258,Final Walkthrough,Fail,46,7,No,,FHWA,
243,69,08/03/2021,G. Martinez,INS-32475,Interim Progress,Pass,88,1,N,,FHWA,
244,69,2021-11-09,H. Lee,INS-23683,Structural,fail,41,8,Y,11-19-2021,FAA,Cited violation
245,69,2023/10/27,A. Nguyen,INS-39714,Plumbing,Pass,93,2,Y,2022-07-27,State DOT,Follow-up required
246,70,04-05-2021,E. Hoffman,INS-94239,Structural,PASS,73,1,N,,EPA,Escalated to state
247,70,2019-02-16,M. Chen,INS-14409,Electrical,Pass with Conditions,79,1,Y,,State DOT,Escalated to state
248,70,10-14-2021,G. Martinez,INS-53260,Structural,Pass,71,1,YES,,FTA,
249,70,02/09/2022,I. Jackson,,Routine Safety,Pass,86,0,N,,State DEP,
250,70,2021-11-08,R. Patel,INS-23396,Fire Safety,Pass,79,1,y,,FAA,Closed
251,70,11-01-2024,D. Freeman,INS-10841,Structural,Pass,64,1,N,,State DEP,
252,71,05/24/2025,I. Jackson,INS-32463,Environmental Compliance,Pass,90,1,N,,Army Corps,Escalated to state
253,71,04-18-2023,E. Hoffman,INS-87645,Final Walkthrough,Deferred,71,1,N,,OSHA,
254,71,2023-09-07,D. Freeman,INS-90725,Fire Safety,Pass,97,2,N,,FTA,Follow-up required
255,72,,S. Williams,INS-38250,Fire Safety,Pass,87,,N,,Local Building Dept,
256,72,2020-10-30,C. Richardson,INS-30936,Final Walkthrough,Pass,90,2,N,,FTA,Cited violation
257,72,05-20-2025,G. Martinez,INS-74613,Routine Safety,Pass,58,1,yes,,State DEP,
258,72,11/18/2021,K. O'Brien,INS-77141,Interim Progress,Pass,96,0,N,,FHWA,Cited violation
259,72,2024/10/15,D. Freeman,INS-42256,Routine Safety,Pass,?,1,N,,State DOT,
260,72,2021/02/06,J. Kowalski,INS-77499,Electrical,Pass,,3,no,11/09/2020,Army Corps,
261,73,03-26-2021,R. Patel,INS-63886,Quality Control,Pass,92,,N,,FHWA,
262,74,2022/09/13,E. Hoffman,,Routine Safety,Pass,96,3,N,,FTA,
263,74,08-06-2022,G. Martinez,INS-93077,Final Walkthrough,Pass,95,1,N,,OSHA,
264,75,2021-05-01,R. Patel,INS-65000,Electrical,Pass,61,1,Y,,EPA,
265,75,05/09/2019,H. Lee,INS-47338,Environmental Compliance,Pass,68,,Y,08/23/2025,FAA,
266,75,2020/03/09,D. Freeman,INS-20866,Fire Safety,Pass,61,3,Y,2024-05-09,FTA,Closed
267,75,2020-12-19,J. Kowalski,INS-93613,Final Walkthrough,Pass,87,3,No,,OSHA,
268,76,05/13/2020,C. Richardson,INS-56066,Structural,Pass,,3,N,,State DEP,Follow-up required
269,76,17/06/2022,C. Richardson,INS-24323,Interim Progress,,98,3,Y,03/17/2022,State DOT,Cited violation
270,76,2023-05-02,H. Lee,INS-74402,Final Walkthrough,Pass,59,3,N,,State DOT,Escalated to state
